ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
1351;GM1859;2015JJ00;26053;757;31;37;46;21313;;
1359;GM1721;2015JJ00;9041;530;12;41;15;6612;;
1367;GM0568;2015JJ00;;;;;;;;
1375;GM0753;2015JJ00;3510;478;20;7;28;1504;;
1383;GM0209;2015JJ00;4709;435;25;30;4;3052;;
1391;GM0375;2015JJ00;2009;400;89;10;23;384;;118
1399;GM0063;2015JJ00;11648;230;5;3;14;8257;;2160
1407;GM0310;2015JJ00;6713;851;32;69;81;3425;;
1415;GM0585;2015JJ00;7557;474;13;52;6;5401;;
1423;GM1728;2015JJ00;7562;406;12;14;12;4246;;
1431;GM0754;2015JJ00;;;;;;;;
1439;GM0376;2015JJ00;1556;312;7;5;9;329;;
1447;GM0495;2015JJ00;;;;;;;;
1455;GM0377;2015JJ00;4523;570;6;15;76;425;;472
1463;GM0055;2015JJ00;;;;;;;;
1471;GM0497;2015JJ00;;;;;;;;
1479;GM1901;2015JJ00;8864;407;10;11;6;6294;;
1487;GM0755;2015JJ00;3452;168;5;0;22;2920;;
1495;GM0009;2015JJ00;4573;179;3;15;3;4110;;
1503;GM0064;2015JJ00;;;;;;;;
1511;GM0211;2015JJ00;;;;;;;;
1519;GM0108;2015JJ00;;;;;;;;
1527;GM1681;2015JJ00;27789;814;13;57;13;21283;;
1535;GM0897;2015JJ00;;;;;;;;
1543;GM0147;2015JJ00;2616;377;11;4;22;1614;;
1551;GM0654;2015JJ00;19452;429;2;59;2;11667;;5179
1559;GM0499;2015JJ00;;;;;;;;
1567;GM0756;2015JJ00;11384;540;11;29;40;8089;;
1575;GM0757;2015JJ00;6485;476;20;9;48;3553;;
1583;GM0212;2015JJ00;;;;;;;;
1591;GM0758;2015JJ00;12868;2338;151;65;197;5620;;
1599;GM0194;2015JJ00;;;;;;;;
1607;GM0311;2015JJ00;;;;;;;;
1615;GM0501;2015JJ00;3114;211;10;0;26;1883;;
1623;GM0898;2015JJ00;;;;;;;;
1631;GM1876;2015JJ00;28642;605;14;27;12;22758;;
1639;GM0656;2015JJ00;;;;;;;;
1647;GM0657;2015JJ00;;;;;;;;
1655;GM0213;2015JJ00;8501;382;21;12;16;5749;;
1663;GM0899;2015JJ00;1734;503;18;73;34;150;;
1671;GM0759;2015JJ00;;;;;;;;
1679;GM0312;2015JJ00;3757;228;16;33;10;2852;;
1687;GM0313;2015JJ00;3481;276;9;3;1;2435;;
1695;GM0214;2015JJ00;14292;415;0;11;2;11514;;
1703;GM0381;2015JJ00;815;457;22;23;25;41;;
1711;GM0502;2015JJ00;1540;654;25;27;35;63;;
1719;GM0383;2015JJ00;6040;527;20;63;49;2319;;517
1727;GM0760;2015JJ00;;;;;;;;
1735;GM0109;2015JJ00;29969;842;16;61;35;22950;;
1743;GM1706;2015JJ00;7805;506;7;104;12;3713;;
1751;GM0611;2015JJ00;7033;180;8;5;3;4599;;
1759;GM1684;2015JJ00;5707;421;18;13;9;3685;;
1767;GM0216;2015JJ00;3114;344;17;12;27;1839;;
1775;GM0110;2015JJ00;;;;;;;;
1783;GM0148;2015JJ00;16652;478;21;3;6;13430;;
1791;GM0065;2015JJ00;;;;;;;;
1799;GM1891;2015JJ00;8753;454;9;8;21;7049;;
1807;GM0503;2015JJ00;2406;739;75;36;128;200;;
1815;GM0010;2015JJ00;22750;598;26;22;62;10392;;9145
1823;GM0149;2015JJ00;;;;;;;;
1831;GM0762;2015JJ00;11836;622;24;4;35;7505;;
1839;GM0150;2015JJ00;13433;1251;57;59;120;8474;;
1847;GM0218;2015JJ00;;;;;;;;
